game_id,season,week,game_date,posteam,defteam,home_team,away_team,fixed_drive,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points
2023_17_NE_BUF,2023,17,2023-12-31,NE,BUF,BUF,NE,1.0,6.297351,1.0,0.0,7.0,unknown,Touchdown,7.0
2023_17_NO_TB,2023,17,2023-12-31,TB,NO,TB,NO,8.0,-3.3229506,0.0,0.0,0.0,TB 25,Punt,0.0
2023_18_MIN_DET,2023,18,2024-01-07,DET,MIN,DET,MIN,22.0,-1.7737335,0.5,30.0,30.0,MIN 39,End of half,0.0
2023_18_MIN_DET,2023,18,2024-01-07,DET,MIN,DET,MIN,5.0,3.6891959,0.5555555555555556,7.0,13.0,DET 36,Touchdown,6.0
2023_18_LA_SF,2023,18,2024-01-07,LA,SF,SF,LA,15.0,-1.7507864,0.2857142857142857,21.0,21.0,LA 34,Punt,0.0
2024_01_JAX_MIA,2024,1,2024-09-08,JAX,MIA,MIA,JAX,4.0,7.214605,0.875,0.0,7.0,JAX 4,Touchdown,7.0
2024_01_WAS_TB,2024,1,2024-09-08,TB,WAS,TB,WAS,10.0,4.1727657,0.7142857142857143,16.0,23.0,TB 46,Touchdown,7.0
2023_18_MIN_DET,2023,18,2024-01-07,DET,MIN,DET,MIN,16.0,5.5072045,0.4,20.0,27.0,DET 25,Touchdown,7.0
2023_18_JAX_TEN,2023,18,2024-01-07,TEN,JAX,TEN,JAX,16.0,-5.193162,0.1666666666666666,28.0,28.0,TEN 25,Turnover,0.0
2023_18_PHI_NYG,2023,18,2024-01-07,PHI,NYG,NYG,PHI,14.0,-5.2609425,0.0,0.0,0.0,PHI 20,Turnover,0.0
2023_18_HOU_IND,2023,18,2024-01-06,HOU,IND,IND,HOU,10.0,4.6605544,0.8888888888888888,7.0,14.0,HOU 43,Touchdown,7.0
2023_18_JAX_TEN,2023,18,2024-01-07,JAX,TEN,TEN,JAX,19.0,-3.1109605,0.25,20.0,20.0,JAX 25,Turnover on downs,0.0
2024_03_NYG_CLE,2024,3,2024-09-22,CLE,NYG,CLE,NYG,2.0,2.299769,1.0,0.0,7.0,NYG 24,Touchdown,7.0
2023_18_PIT_BAL,2023,18,2024-01-06,BAL,PIT,BAL,PIT,4.0,-3.0011683,0.0,0.0,0.0,BAL 25,Punt,0.0
2023_18_DAL_WAS,2023,18,2024-01-07,WAS,DAL,WAS,DAL,3.0,-5.222409,0.0,0.0,0.0,WAS 25,Turnover,0.0
2024_02_NYG_WAS,2024,2,2024-09-15,NYG,WAS,WAS,NYG,6.0,5.502517,0.5833333333333334,6.0,12.0,NYG 31,Touchdown,6.0
2024_01_DEN_SEA,2024,1,2024-09-08,SEA,DEN,SEA,DEN,28.0,-3.8787665,0.0,26.0,26.0,SEA 38,Punt,0.0
2024_04_JAX_HOU,2024,4,2024-09-29,HOU,JAX,HOU,JAX,11.0,-1.9976939,0.4,17.0,17.0,HOU 30,Punt,0.0
2024_03_WAS_CIN,2024,3,2024-09-23,WAS,CIN,CIN,WAS,9.0,6.297351,0.7272727272727273,21.0,28.0,CIN 33,Touchdown,7.0
2023_18_HOU_IND,2023,18,2024-01-06,HOU,IND,IND,HOU,2.0,6.0533338,0.6666666666666666,0.0,7.0,HOU 25,Touchdown,7.0
2024_02_NYJ_TEN,2024,2,2024-09-15,TEN,NYJ,TEN,NYJ,15.0,5.349418,0.7142857142857143,10.0,17.0,TEN 29,Touchdown,7.0
2024_05_IND_JAX,2024,5,2024-10-06,JAX,IND,JAX,IND,6.0,6.68505,1.0,3.0,10.0,JAX 15,Touchdown,7.0
2024_03_NYG_CLE,2024,3,2024-09-22,NYG,CLE,CLE,NYG,14.0,-3.6391692,0.6666666666666666,21.0,21.0,NYG 18,Turnover,0.0
2024_02_PIT_DEN,2024,2,2024-09-15,PIT,DEN,DEN,PIT,17.0,-2.4191303,0.3333333333333333,13.0,13.0,PIT 14,Punt,0.0
2024_03_KC_ATL,2024,3,2024-09-22,KC,ATL,ATL,KC,16.0,-1.638447,0.6,22.0,22.0,KC 30,Punt,0.0
2024_03_CHI_IND,2024,3,2024-09-22,CHI,IND,IND,CHI,21.0,-5.557391,0.0,9.0,9.0,CHI 18,Turnover,0.0
2024_03_DEN_TB,2024,3,2024-09-22,TB,DEN,TB,DEN,15.0,-2.1830008,0.2857142857142857,7.0,7.0,TB 41,Punt,0.0
2024_03_GB_TEN,2024,3,2024-09-22,TEN,GB,TEN,GB,9.0,-5.0354657,0.4285714285714285,7.0,7.0,TEN 15,Turnover on downs,0.0
2023_18_CLE_CIN,2023,18,2024-01-07,CIN,CLE,CIN,CLE,4.0,4.7192364,0.6666666666666666,0.0,7.0,CIN 40,Touchdown,7.0
2024_02_PIT_DEN,2024,2,2024-09-15,DEN,PIT,DEN,PIT,16.0,1.6139863,0.4,0.0,3.0,DEN 30,Field goal,3.0
2023_18_BUF_MIA,2023,18,2024-01-07,MIA,BUF,MIA,BUF,5.0,6.2655864,0.5384615384615384,0.0,7.0,MIA 20,Touchdown,7.0
2023_17_LA_NYG,2023,17,2023-12-31,LA,NYG,NYG,LA,20.0,5.1133833,0.6666666666666666,20.0,26.0,LA 25,Touchdown,6.0
2024_02_ATL_PHI,2024,2,2024-09-16,ATL,PHI,PHI,ATL,16.0,6.262846,0.875,15.0,22.0,ATL 30,Touchdown,7.0
2024_02_BUF_MIA,2024,2,2024-09-12,BUF,MIA,MIA,BUF,20.0,-0.59525114,0.0,31.0,31.0,BUF 12,End of half,0.0
2023_18_CHI_GB,2023,18,2024-01-07,GB,CHI,GB,CHI,4.0,6.979028,0.6666666666666666,0.0,7.0,GB 8,Touchdown,7.0
2024_04_JAX_HOU,2024,4,2024-09-29,JAX,HOU,HOU,JAX,2.0,0.72776604,1.0,0.0,7.0,HOU 2,Touchdown,7.0
2023_17_NE_BUF,2023,17,2023-12-31,NE,BUF,BUF,NE,9.0,-5.038291,0.0,7.0,7.0,NE 25,Turnover,0.0
2024_02_LV_BAL,2024,2,2024-09-15,BAL,LV,BAL,LV,24.0,-0.17090607,0.3333333333333333,23.0,23.0,BAL 30,Turnover on downs,0.0
2024_04_BUF_BAL,2024,4,2024-09-29,BUF,BAL,BAL,BUF,16.0,-2.8929107,0.4,10.0,10.0,BUF 30,Missed field goal,0.0
2024_05_GB_LA,2024,5,2024-10-06,GB,LA,LA,GB,9.0,-7.283963,0.0,7.0,7.0,GB 10,Opp touchdown,0.0
2024_05_CLE_WAS,2024,5,2024-10-06,WAS,CLE,WAS,CLE,10.0,1.8154777,0.4444444444444444,7.0,10.0,WAS 20,Field goal,3.0
