game_id,posteam,fixed_drive,order_sequence,down,ydstogo,yardline_100,game_seconds_remaining,score_differential,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,first_ot_drive,decision
2016_03_CLE_MIA,MIA,26.0,4589.0,4.0,6.0,56.0,816.0,0.0,0.0,1.0,47.0,0.5106255,0.432494,2016,3,2016-09-25,MIA,CLE,CLE,26.0,PUNT
2016_06_IND_HOU,IND,24.0,4221.0,4.0,12.0,62.0,714.0,0.0,0.0,0.0,43.406976744186046,0.28114212,0.374349,2016,6,2016-10-16,HOU,IND,HOU,24.0,GO
2016_06_IND_HOU,IND,24.0,4248.0,4.0,7.0,57.0,702.0,0.0,0.0,1.0,41.0,-1.3539158,0.40061483,2016,6,2016-10-16,HOU,IND,HOU,24.0,PUNT
2016_07_SD_ATL,ATL,21.0,4219.0,4.0,1.0,55.0,736.0,0.0,0.0,0.0,43.406976744186046,-3.3984525,0.36163196,2016,7,2016-10-23,ATL,LAC,LAC,21.0,GO
2016_07_SEA_ARI,ARI,23.0,4461.0,4.0,5.0,27.0,688.0,0.0,1.0,0.0,45.0,0.9792247,0.85225505,2016,7,2016-10-23,ARI,SEA,SEA,23.0,FG
2016_08_OAK_TB,LV,23.0,4416.0,4.0,21.0,34.0,663.0,0.0,1.0,0.0,52.0,-3.3273048,0.7125684,2016,8,2016-10-30,TB,LV,TB,23.0,FG
2016_08_PHI_DAL,DAL,25.0,4791.0,4.0,1.0,28.0,659.0,0.0,0.0,0.0,43.406976744186046,1.4422946,0.78934133,2016,8,2016-10-30,DAL,PHI,PHI,25.0,GO
2016_08_WAS_CIN,WAS,22.0,4666.0,4.0,7.0,45.0,722.0,0.0,0.0,1.0,35.0,-0.24558686,0.45553577,2016,8,2016-10-30,CIN,WAS,CIN,22.0,PUNT
2016_12_KC_DEN,DEN,26.0,4633.0,4.0,16.0,26.0,535.0,0.0,1.0,0.0,44.0,1.0005074,0.83854234,2016,12,2016-11-27,DEN,KC,KC,26.0,FG
2016_14_NYJ_SF,SF,25.0,4219.0,4.0,2.0,37.0,776.0,0.0,0.0,0.0,43.406976744186046,-2.9155483,0.6200335,2016,14,2016-12-11,SF,NYJ,NYJ,25.0,GO
