season,week,game_date,game_id,team,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2016,1,2016-09-11,2016_01_NE_ARI,ARI,,,
2016,2,2016-09-18,2016_02_TB_ARI,ARI,,,
2016,3,2016-09-25,2016_03_ARI_BUF,ARI,,,
2016,4,2016-10-02,2016_04_LA_ARI,ARI,,,
2016,5,2016-10-06,2016_05_ARI_SF,ARI,,,
2016,6,2016-10-17,2016_06_NYJ_ARI,ARI,,,
2016,7,2016-10-23,2016_07_SEA_ARI,ARI,-0.14437425,0.3786532041591565,1.8944806
2016,8,2016-10-30,2016_08_ARI_CAR,ARI,-0.4433594,0.3707534352772448,1.6159091
2016,10,2016-11-13,2016_10_SF_ARI,ARI,-0.67824274,0.3759460821365583,1.488925
2016,11,2016-11-20,2016_11_ARI_MIN,ARI,-0.41839138,0.3960912922886366,1.5933205
2016,12,2016-11-27,2016_12_ARI_ATL,ARI,-0.38116714,0.3846359266666043,1.7460984
2016,13,2016-12-04,2016_13_WAS_ARI,ARI,-0.48523882,0.3722016402739845,1.7183205
2016,14,2016-12-11,2016_14_ARI_MIA,ARI,-0.5237985,0.3623364047469843,1.8107448
2016,15,2016-12-18,2016_15_NO_ARI,ARI,-0.3908002,0.3603801500228725,1.9948717
2016,16,2016-12-24,2016_16_ARI_SEA,ARI,-0.11292974,0.3762429628553823,2.2473972
2016,17,2017-01-01,2016_17_ARI_LA,ARI,-0.05576219,0.372615180381446,2.3572872
2017,1,2017-09-10,2017_01_ARI_DET,ARI,,,
2017,2,2017-09-17,2017_02_ARI_IND,ARI,,,
2017,3,2017-09-25,2017_03_DAL_ARI,ARI,,,
2017,4,2017-10-01,2017_04_SF_ARI,ARI,,,
2017,5,2017-10-08,2017_05_ARI_PHI,ARI,,,
2017,6,2017-10-15,2017_06_TB_ARI,ARI,,,
2017,7,2017-10-22,2017_07_ARI_LA,ARI,-0.72746044,0.3589196998729562,1.4838079
2017,9,2017-11-05,2017_09_ARI_SF,ARI,-0.7896747,0.3434170543703106,1.2658591
2017,10,2017-11-09,2017_10_SEA_ARI,ARI,-0.8296812,0.3308478219052448,1.2658591
2017,11,2017-11-19,2017_11_ARI_HOU,ARI,-0.8867782,0.3179810858955978,1.2348763
2017,12,2017-11-26,2017_12_JAX_ARI,ARI,-0.9340158,0.3203070667930073,1.2705905
2017,13,2017-12-03,2017_13_LA_ARI,ARI,-0.76493216,0.3316536060562132,1.4457799
2017,14,2017-12-10,2017_14_TEN_ARI,ARI,-1.1535245,0.2879139737749143,1.1808227
2017,15,2017-12-17,2017_15_ARI_WAS,ARI,-0.98855734,0.30738787949882,1.3474894
2017,16,2017-12-24,2017_16_NYG_ARI,ARI,-1.0674552,0.3184255020070308,1.3175749
2017,17,2017-12-31,2017_17_ARI_SEA,ARI,-1.0669822,0.3298188974502,1.3148276
2018,1,2018-09-09,2018_01_WAS_ARI,ARI,,,
2018,2,2018-09-16,2018_02_ARI_LA,ARI,,,
2018,3,2018-09-23,2018_03_CHI_ARI,ARI,,,
2018,4,2018-09-30,2018_04_SEA_ARI,ARI,,,
2018,5,2018-10-07,2018_05_ARI_SF,ARI,,,
2018,6,2018-10-14,2018_06_ARI_MIN,ARI,,,
2018,7,2018-10-18,2018_07_DEN_ARI,ARI,-1.3405708,0.3144082835154264,0.94108945
2018,8,2018-10-28,2018_08_SF_ARI,ARI,-1.6801096,0.3066393240798002,0.9522006
2018,10,2018-11-11,2018_10_ARI_KC,ARI,-1.3845868,0.3117679917084679,1.2249278
2018,11,2018-11-18,2018_11_OAK_ARI,ARI,-1.2715279,0.3259154183558946,1.2249278
2018,12,2018-11-25,2018_12_ARI_LAC,ARI,-1.2631675,0.3131305180709942,1.2388167
2018,13,2018-12-02,2018_13_ARI_GB,ARI,-1.4562131,0.2877392366732194,1.1284271
2018,14,2018-12-09,2018_14_DET_ARI,ARI,-1.1167799,0.2884577641774611,1.300505
2018,15,2018-12-16,2018_15_ARI_ATL,ARI,-0.9526748,0.3003071108184745,1.2310606
2018,16,2018-12-23,2018_16_LA_ARI,ARI,-1.0947765,0.3073572035828529,1.125
2018,17,2018-12-30,2018_17_ARI_SEA,ARI,-1.1564413,0.2967812055068549,1.0795455
2019,1,2019-09-08,2019_01_DET_ARI,ARI,,,
2019,2,2019-09-15,2019_02_ARI_BAL,ARI,,,
2019,3,2019-09-22,2019_03_CAR_ARI,ARI,,,
2019,4,2019-09-29,2019_04_SEA_ARI,ARI,,,
2019,5,2019-10-06,2019_05_ARI_CIN,ARI,,,
2019,6,2019-10-13,2019_06_ATL_ARI,ARI,,,
2019,7,2019-10-20,2019_07_ARI_NYG,ARI,0.13812856,0.3643857531357531,2.0177362
2019,8,2019-10-27,2019_08_ARI_NO,ARI,0.066199966,0.3571507427757427,2.1280303
2019,9,2019-10-31,2019_09_SF_ARI,ARI,-0.23215061,0.3489057932807933,1.994697
2019,10,2019-11-10,2019_10_ARI_TB,ARI,0.035716504,0.3774821038015483,2.1546295
2019,11,2019-11-17,2019_11_ARI_SF,ARI,0.3622388,0.379731243550688,2.3341167
2019,13,2019-12-01,2019_13_LA_ARI,ARI,0.15474726,0.3548588936783381,2.2947228
2019,14,2019-12-08,2019_14_PIT_ARI,ARI,-0.50430876,0.3143808994503438,1.8252784
2019,15,2019-12-15,2019_15_CLE_ARI,ARI,-0.66224986,0.3295265177209621,1.7650932
2019,16,2019-12-22,2019_16_ARI_SEA,ARI,-0.13596876,0.3643209825154269,2.2484267
2019,17,2019-12-29,2019_17_ARI_LA,ARI,-0.3120443,0.3588743201243201,2.1316173
2020,1,2020-09-13,2020_01_ARI_SF,ARI,,,
2020,2,2020-09-20,2020_02_WAS_ARI,ARI,,,
2020,3,2020-09-27,2020_03_DET_ARI,ARI,,,
2020,4,2020-10-04,2020_04_ARI_CAR,ARI,,,
2020,5,2020-10-11,2020_05_ARI_NYJ,ARI,,,
2020,6,2020-10-19,2020_06_ARI_DAL,ARI,,,
