season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2024,NYG,6-10,61-80,1.0,0.0,offense,,
2017,LV,1,21-40,2.0,0.5,offense,,
2018,ATL,2,41-60,2.0,0.5,offense,,
2020,CHI,3-5,0-20,1.0,0.0,offense,,
2020,WAS,11+,21-40,2.0,0.0,offense,,
2021,DET,2,21-40,1.0,0.0,offense,,
2023,NYG,3-5,61-80,2.0,0.5,offense,,
2024,CLE,1,41-60,5.0,0.4,offense,,
2024,CAR,3-5,61-80,4.0,0.0,offense,,
2024,BAL,1,41-60,2.0,0.0,offense,,
2024,TEN,2,61-80,1.0,0.0,offense,,
2024,BUF,1,0-20,4.0,1.0,offense,,
2024,JAX,1,21-40,2.0,1.0,offense,,
2024,LAC,3-5,61-80,3.0,0.0,offense,,
2024,SEA,11+,61-80,2.0,0.0,offense,,
2024,NYG,1,41-60,7.0,0.8571428571428571,offense,,
2024,CLE,3-5,41-60,4.0,0.25,offense,,
2024,CAR,3-5,21-40,4.0,0.25,offense,,
2024,NYJ,6-10,41-60,1.0,0.0,offense,,
2024,NE,3-5,41-60,2.0,0.0,offense,,
2024,SEA,1,61-80,3.0,0.3333333333333333,offense,,
2024,MIA,1,61-80,2.0,0.0,offense,,
2024,SF,11+,21-40,1.0,0.0,offense,,
2024,BAL,1,61-80,3.0,1.0,offense,,
2024,CAR,2,0-20,2.0,0.5,offense,,
2024,CLE,6-10,0-20,4.0,0.25,offense,,
2024,BUF,6-10,0-20,1.0,0.0,offense,,
2024,JAX,2,41-60,1.0,0.0,offense,,
2024,LV,3-5,41-60,3.0,0.3333333333333333,offense,,
2024,TB,1,41-60,2.0,0.5,offense,,
2024,NO,1,41-60,5.0,0.8,offense,,
2024,ATL,3-5,61-80,1.0,1.0,offense,,
2024,TEN,2,41-60,1.0,0.0,offense,,
2024,ARI,11+,0-20,1.0,0.0,offense,,
2024,NYJ,1,41-60,2.0,0.5,offense,,
2024,JAX,11+,41-60,1.0,1.0,offense,,
2024,IND,2,0-20,1.0,0.0,offense,,
2024,IND,6-10,21-40,2.0,0.5,offense,,
2024,NE,1,61-80,2.0,0.5,offense,,
2024,CAR,3-5,41-60,4.0,0.25,offense,,
2024,KC,1,61-80,1.0,0.0,offense,,
2024,MIA,1,0-20,2.0,0.5,offense,,
2024,LA,3-5,41-60,1.0,1.0,offense,,
2024,HOU,2,21-40,1.0,1.0,offense,,
2024,NO,3-5,21-40,2.0,0.0,offense,,
2024,LV,6-10,41-60,1.0,0.0,offense,,
2024,GB,11+,41-60,1.0,,offense,,
2024,SEA,6-10,61-80,1.0,0.0,offense,,
2024,NYJ,11+,21-40,1.0,0.0,offense,,
2024,LA,2,21-40,1.0,0.0,offense,,
2024,CAR,3-5,0-20,2.0,1.0,offense,,
2024,CAR,2,21-40,1.0,0.0,offense,,
2024,CLE,6-10,41-60,3.0,0.6666666666666666,offense,,
2024,NYG,2,0-20,1.0,0.0,offense,,
2024,NYG,3-5,81-100,1.0,0.0,offense,,
2024,DET,3-5,41-60,2.0,1.0,offense,,
2024,LAC,11+,61-80,2.0,0.0,offense,,
2024,NO,6-10,21-40,2.0,0.0,offense,,
2024,NO,2,41-60,1.0,0.0,offense,,
2024,NO,6-10,61-80,1.0,0.0,offense,,
2024,PIT,6-10,41-60,1.0,0.0,offense,,
2024,NO,11+,81-100,1.0,0.0,offense,,
2024,MIA,6-10,41-60,2.0,0.5,offense,,
2024,MIN,3-5,0-20,1.0,0.0,offense,,
2024,LA,6-10,61-80,1.0,1.0,offense,,
2016,JAX,11+,41-60,2.0,0.0,offense,,
2016,KC,3-5,21-40,1.0,1.0,offense,,
2016,MIN,11+,41-60,4.0,0.0,offense,,
2016,LAC,1,0-20,5.0,0.4,offense,,
2016,SF,6-10,61-80,1.0,0.0,offense,,
2016,IND,1,41-60,2.0,0.0,offense,,
2016,JAX,6-10,41-60,2.0,0.0,offense,,
2016,NYG,3-5,41-60,2.0,0.0,offense,,
2016,ATL,1,0-20,2.0,0.5,offense,,
2016,CIN,3-5,41-60,2.0,1.0,offense,,
2016,DET,1,41-60,4.0,0.75,offense,,
2016,BAL,2,0-20,2.0,0.0,offense,,
2016,NYG,1,61-80,1.0,1.0,offense,,
2016,DAL,1,41-60,2.0,1.0,offense,,
2016,IND,2,0-20,1.0,0.0,offense,,
2016,CLE,1,0-20,1.0,0.0,offense,,
2016,PHI,2,41-60,1.0,1.0,offense,,
2016,LA,3-5,41-60,4.0,0.25,offense,,
2016,MIA,2,0-20,1.0,0.0,offense,,
2016,PHI,1,41-60,1.0,0.0,offense,,
2016,MIN,3-5,21-40,1.0,0.0,offense,,
2016,DAL,11+,41-60,1.0,0.0,offense,,
2016,GB,2,21-40,1.0,1.0,offense,,
2016,HOU,1,0-20,5.0,0.6,offense,,
2016,LV,1,21-40,1.0,1.0,offense,,
2016,NO,3-5,21-40,1.0,1.0,offense,,
2016,TEN,2,41-60,1.0,0.0,offense,,
2016,BAL,3-5,61-80,2.0,0.0,offense,,
2016,KC,11+,81-100,1.0,0.0,offense,,
2016,KC,6-10,0-20,1.0,1.0,offense,,
2016,CLE,11+,21-40,1.0,0.0,offense,,
2016,CHI,3-5,61-80,1.0,0.0,offense,,
2016,SEA,3-5,21-40,1.0,0.0,offense,,
2016,NO,1,41-60,2.0,0.0,offense,,
2016,NE,1,41-60,1.0,1.0,offense,,
2016,CHI,6-10,81-100,1.0,0.0,offense,,
2016,DAL,6-10,81-100,2.0,0.0,offense,,
2016,LV,6-10,61-80,1.0,0.0,offense,,
2016,WAS,2,0-20,1.0,1.0,offense,,
