game_id,posteam,fixed_drive,order_sequence,ydstogo,yardline_100,game_seconds_remaining,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,decision,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6,ydstogo_bin,yardline_bin,off_go_attempts,off_go_conv_rate,def_go_faced,def_go_stop_rate
2016_03_CLE_MIA,MIA,26.0,4589.0,6.0,56.0,816.0,0.0,1.0,47.0,0.5106255,0.432494,2016,3,2016-09-25,MIA,CLE,CLE,PUNT,-0.9185188,0.3333333333333333,24.0,24.0,MIA 22,Punt,0.0,,,,6-10,41-60,,,2.0,0.5
2016_06_IND_HOU,IND,24.0,4221.0,12.0,62.0,714.0,0.0,0.0,43.406976744186046,0.28114212,0.374349,2016,6,2016-10-16,HOU,IND,HOU,GO,-2.7284484,0.625,23.0,23.0,IND 26,Punt,0.0,,,,11+,61-80,2.0,0.0,1.0,1.0
2016_06_IND_HOU,IND,24.0,4248.0,7.0,57.0,702.0,0.0,1.0,41.0,-1.3539158,0.40061483,2016,6,2016-10-16,HOU,IND,HOU,PUNT,-2.7284484,0.625,23.0,23.0,IND 26,Punt,0.0,,,,6-10,41-60,2.0,0.5,3.0,1.0
2016_07_SD_ATL,ATL,21.0,4219.0,1.0,55.0,736.0,0.0,0.0,43.406976744186046,-3.3984525,0.36163196,2016,7,2016-10-23,ATL,LAC,LAC,GO,-4.543266,0.375,30.0,30.0,ATL 25,Turnover on downs,0.0,1.2035432,0.4612706966954802,2.7484848,1,41-60,3.0,0.6666666666666666,4.0,0.5
2016_07_SEA_ARI,ARI,23.0,4461.0,5.0,27.0,688.0,1.0,0.0,45.0,0.9792247,0.85225505,2016,7,2016-10-23,ARI,SEA,SEA,FG,1.6027861,0.4,3.0,6.0,ARI 25,Field goal,3.0,-0.14437425,0.3786532041591565,1.8944806,3-5,21-40,2.0,1.0,1.0,1.0
2016_08_OAK_TB,LV,23.0,4416.0,21.0,34.0,663.0,1.0,0.0,52.0,-3.3273048,0.7125684,2016,8,2016-10-30,TB,LV,TB,FG,-3.0001295,0.3,24.0,24.0,LV 25,Missed field goal,0.0,0.10098368,0.4092070139199664,1.9980769,11+,21-40,,,,
2016_08_PHI_DAL,DAL,25.0,4791.0,1.0,28.0,659.0,0.0,0.0,43.406976744186046,1.4422946,0.78934133,2016,8,2016-10-30,DAL,PHI,PHI,GO,5.602786,0.5384615384615384,23.0,29.0,DAL 25,Touchdown,6.0,0.9553583,0.4165950318442148,2.6563973,1,21-40,5.0,1.0,3.0,0.3333333333333333
2016_08_WAS_CIN,WAS,22.0,4666.0,7.0,45.0,722.0,0.0,1.0,35.0,-0.24558686,0.45553577,2016,8,2016-10-30,CIN,WAS,CIN,PUNT,-1.1327618,0.2222222222222222,27.0,27.0,WAS 25,Punt,0.0,0.5012828,0.441329844767053,2.2397547,6-10,41-60,,,1.0,1.0
2016_12_KC_DEN,DEN,26.0,4633.0,16.0,26.0,535.0,1.0,0.0,44.0,1.0005074,0.83854234,2016,12,2016-11-27,DEN,KC,KC,FG,1.8535478,0.3846153846153846,24.0,27.0,DEN 25,Field goal,3.0,-0.581287,0.3245889332163842,1.5738956,11+,21-40,,,1.0,1.0
2016_14_NYJ_SF,SF,25.0,4219.0,2.0,37.0,776.0,0.0,0.0,43.406976744186046,-2.9155483,0.6200335,2016,14,2016-12-11,SF,NYJ,NYJ,GO,-2.7369494,0.2857142857142857,17.0,17.0,SF 25,Turnover on downs,0.0,-0.5135015,0.342468372985864,1.5631313,2,21-40,2.0,0.5,2.0,1.0
2016_16_MIA_BUF,BUF,24.0,4896.0,20.0,27.0,608.0,1.0,0.0,45.0,-3.2711613,0.8270609,2016,16,2016-12-24,BUF,MIA,MIA,FG,-2.5153975,0.3636363636363636,31.0,31.0,BUF 25,Missed field goal,0.0,0.37497285,0.4145390685971122,2.3308082,11+,21-40,1.0,0.0,1.0,1.0
2016_17_CLE_PIT,CLE,26.0,4507.0,16.0,16.0,441.0,1.0,0.0,34.0,0.32397547,0.94344217,2016,17,2017-01-01,PIT,CLE,PIT,FG,2.2315354,0.5,21.0,24.0,CLE 19,Field goal,3.0,-0.9957257,0.2910549808987309,1.0991162,11+,0-20,,,,
2017_03_CIN_GB,CIN,22.0,3995.0,5.0,70.0,474.0,0.0,1.0,58.0,-0.43262818,0.31874064,2017,3,2017-09-24,GB,CIN,GB,PUNT,-2.0876088,0.4,24.0,24.0,CIN 25,Punt,0.0,,,,3-5,61-80,1.0,0.0,,
2017_04_JAX_NYJ,JAX,24.0,4142.0,10.0,54.0,505.0,0.0,1.0,51.0,0.62786096,0.36690548,2017,4,2017-10-01,NYJ,JAX,NYJ,PUNT,-0.73277074,0.25,20.0,20.0,JAX 25,Punt,0.0,,,,6-10,41-60,3.0,1.0,2.0,1.0
2017_04_SF_ARI,SF,26.0,5239.0,5.0,5.0,148.0,1.0,0.0,23.0,0.06222838,0.98442036,2017,4,2017-10-01,ARI,SF,ARI,FG,1.8597975,0.5238095238095238,12.0,15.0,SF 22,Field goal,3.0,,,,3-5,0-20,2.0,1.0,1.0,1.0
2017_06_CHI_BAL,CHI,29.0,4531.0,8.0,68.0,428.0,0.0,1.0,28.0,-1.1173477,0.290402,2017,6,2017-10-15,BAL,CHI,BAL,PUNT,-2.9736633,0.2857142857142857,24.0,24.0,CHI 20,Punt,0.0,,,,6-10,61-80,1.0,0.0,,
