game_id,season,week,game_date,posteam,defteam,qtr,yardline_100,kick_distance,distance_bucket,game_seconds_remaining,score_differential,wp,fg_prob,fg_made,fg_blocked,field_goal_result,kicker_player_id,kicker_player_name,epa,play_id
2016_01_BUF_BAL,2016,1,2016-09-11,BAL,BUF,1.0,32.0,50.0,41-50,2741.0,0.0,0.5298005,0.69603515,true,false,made,00-0029597,J.Tucker,1.7974256,798.0
2016_01_BUF_BAL,2016,1,2016-09-11,BUF,BAL,3.0,31.0,49.0,41-50,1423.0,-3.0,0.35824838,0.7184983,false,false,missed,00-0026003,D.Carpenter,-3.8552082,2119.0
2016_01_BUF_BAL,2016,1,2016-09-11,BAL,BUF,4.0,19.0,37.0,31-40,342.0,3.0,0.84611624,0.9016869,true,false,made,00-0029597,J.Tucker,0.4691954,3214.0
2016_01_CAR_DEN,2016,1,2016-09-08,CAR,DEN,2.0,26.0,44.0,41-50,1807.0,7.0,0.83287156,0.7819999,true,false,made,00-0026858,G.Gano,0.6648524,1826.0
2016_01_CAR_DEN,2016,1,2016-09-08,CAR,DEN,4.0,18.0,36.0,31-40,265.0,-4.0,0.39387465,0.91205645,true,false,made,00-0026858,G.Gano,0.37753,3425.0
2016_01_CAR_DEN,2016,1,2016-09-08,CAR,DEN,4.0,32.0,50.0,41-50,9.0,-1.0,0.5664382,0.6586508,false,false,missed,00-0026858,G.Gano,-1.9405353,4026.0
2016_01_CHI_HOU,2016,1,2016-09-11,HOU,CHI,2.0,10.0,28.0,0-30,2488.0,-7.0,0.36077246,0.96869206,true,false,made,00-0023096,N.Novak,0.14794803,1096.0
2016_01_CHI_HOU,2016,1,2016-09-11,HOU,CHI,3.0,10.0,28.0,0-30,1640.0,-4.0,0.48211133,0.96929663,true,false,made,00-0023096,N.Novak,0.14500402,2249.0
2016_01_CHI_HOU,2016,1,2016-09-11,HOU,CHI,4.0,20.0,38.0,31-40,374.0,6.0,0.8944474,0.897488,true,false,made,00-0023096,N.Novak,0.48327532,3472.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,1.0,4.0,22.0,0-30,2925.0,7.0,0.82124716,0.98836213,false,true,blocked,00-0025565,N.Folk,-3.2331347,782.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,1.0,15.0,33.0,31-40,2792.0,-7.0,0.2521123,0.9425801,true,false,made,00-0023482,M.Nugent,0.23355585,929.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,2.0,27.0,45.0,41-50,2003.0,3.0,0.73649246,0.7783105,true,false,made,00-0025565,N.Folk,1.0801159,1784.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,2.0,3.0,21.0,0-30,1801.0,-6.0,0.33033133,0.98755354,true,false,made,00-0023482,M.Nugent,0.037339356,2178.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,4.0,2.0,20.0,0-30,689.0,-4.0,0.49781117,0.99115384,true,false,made,00-0025565,N.Folk,0.033475667,3165.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,4.0,34.0,52.0,51-55,546.0,1.0,0.5318574,0.65111685,false,false,missed,00-0023482,M.Nugent,-3.264642,3363.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,4.0,6.0,23.0,0-30,205.0,-1.0,0.65999854,0.9823113,true,false,made,00-0025565,N.Folk,0.06705851,3613.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,4.0,29.0,47.0,41-50,58.0,-2.0,0.4329108,0.73007375,true,false,made,00-0023482,M.Nugent,1.0567486,3904.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,1.0,28.0,46.0,41-50,2751.0,7.0,0.74104196,0.7734163,false,false,missed,00-0030390,C.Sturgis,-3.1381555,794.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,2.0,4.0,22.0,0-30,2553.0,7.0,0.7994542,0.98807555,true,false,made,00-0030390,C.Sturgis,0.049567387,1018.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,2.0,19.0,38.0,31-40,1828.0,3.0,0.6779471,0.89208925,true,false,made,00-0030390,C.Sturgis,0.35844648,1837.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,3.0,17.0,35.0,31-40,1741.0,-6.0,0.29093754,0.9269672,true,false,made,00-0030626,P.Murray,0.31351477,2096.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,2.0,32.0,50.0,41-50,2097.0,-14.0,0.13834311,0.7405641,true,false,made,00-0016919,A.Vinatieri,1.3232528,1399.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,4.0,22.0,40.0,31-40,862.0,-10.0,0.20589381,0.88043916,true,false,made,00-0016919,A.Vinatieri,0.6465429,3124.0
2016_01_DET_IND,2016,1,2016-09-11,DET,IND,4.0,25.0,43.0,41-50,8.0,-1.0,0.6720678,0.8270817,true,false,made,00-0023853,M.Prater,0.5270409,4164.0
2016_01_GB_JAX,2016,1,2016-09-11,JAX,GB,2.0,8.0,26.0,0-30,2272.0,0.0,0.64986104,0.97742414,true,false,made,00-0031492,J.Myers,0.09345121,1462.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,3.0,7.0,25.0,0-30,1514.0,4.0,0.7416994,0.98172414,true,false,made,00-0025580,M.Crosby,0.06653521,2515.0
2016_01_GB_JAX,2016,1,2016-09-11,JAX,GB,3.0,21.0,39.0,31-40,1279.0,-7.0,0.32540545,0.88281333,true,false,made,00-0031492,J.Myers,0.6367591,2748.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,4.0,2.0,20.0,0-30,724.0,4.0,0.80448437,0.9912349,true,false,made,00-0025580,M.Crosby,0.030693272,3253.0
2016_01_GB_JAX,2016,1,2016-09-11,JAX,GB,4.0,32.0,50.0,41-50,317.0,-7.0,0.14156538,0.6773883,true,false,made,00-0031492,J.Myers,1.6867236,3636.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,1.0,21.0,39.0,31-40,3015.0,0.0,0.57626706,0.88273793,true,false,made,00-0025944,S.Hauschka,0.63533074,582.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,2.0,23.0,41.0,41-50,2329.0,-3.0,0.45916533,0.852425,true,false,made,00-0031718,A.Franks,0.69015807,1212.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,2.0,20.0,38.0,31-40,1804.0,0.0,0.6343217,0.87791073,true,false,made,00-0025944,S.Hauschka,0.36626777,2136.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,4.0,9.0,27.0,0-30,645.0,-3.0,0.443081,0.9747385,false,true,blocked,00-0031718,A.Franks,-3.8794296,3209.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,1.0,10.0,28.0,0-30,2990.0,0.0,0.60925955,0.9713396,true,false,made,00-0026968,R.Succop,0.13010146,534.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,2.0,19.0,37.0,31-40,2538.0,-3.0,0.4555636,0.90571856,false,false,missed,00-0029576,B.Walsh,-4.0653863,930.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,2.0,38.0,56.0,56+,1803.0,-10.0,0.20364322,0.51072705,false,false,missed,00-0029576,B.Walsh,-1.5321811,1985.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,3.0,32.0,50.0,41-50,1741.0,-10.0,0.17047755,0.7000393,true,false,made,00-0029576,B.Walsh,1.5838546,2114.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,3.0,15.0,33.0,31-40,1264.0,-7.0,0.27125657,0.94287145,true,false,made,00-0029576,B.Walsh,0.23141947,2470.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,4.0,27.0,45.0,41-50,682.0,2.0,0.64621323,0.7914518,true,false,made,00-0029576,B.Walsh,1.0323982,3070.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,4.0,12.0,30.0,0-30,161.0,12.0,0.9950641,0.95901287,true,false,made,00-0029576,B.Walsh,0.16440728,3598.0
2016_01_NE_ARI,2016,1,2016-09-11,NE,ARI,1.0,29.0,47.0,41-50,2765.0,7.0,0.73619825,0.8001171,true,false,made,00-0024333,S.Gostkowski,1.0482968,902.0
2016_01_NE_ARI,2016,1,2016-09-11,NE,ARI,4.0,35.0,53.0,51-55,760.0,3.0,0.6522001,0.70884925,true,false,made,00-0024333,S.Gostkowski,1.6437688,3157.0
2016_01_NE_ARI,2016,1,2016-09-11,NE,ARI,4.0,14.0,32.0,31-40,228.0,-1.0,0.5788991,0.9442668,true,false,made,00-0024333,S.Gostkowski,0.21906188,3825.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,4.0,29.0,47.0,41-50,41.0,-2.0,0.46688703,0.7749721,false,false,missed,00-0030896,C.Catanzaro,-2.1838624,4239.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,1.0,5.0,23.0,0-30,3097.0,0.0,0.60925955,0.9847234,true,false,made,00-0028660,D.Bailey,0.0653803,391.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,2.0,38.0,56.0,56+,2474.0,3.0,0.6054719,0.65175617,true,false,made,00-0028660,D.Bailey,2.2009099,979.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,2.0,7.0,25.0,0-30,2048.0,-1.0,0.586251,0.9779812,true,false,made,00-0028660,D.Bailey,0.08396138,1502.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,4.0,36.0,54.0,51-55,844.0,3.0,0.72349715,0.6903035,true,false,made,00-0028660,D.Bailey,1.9203436,2905.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,1.0,29.0,47.0,41-50,3448.0,0.0,0.5301511,0.7807332,true,false,made,00-0019646,S.Janikowski,1.160755,245.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,1.0,24.0,42.0,41-50,3096.0,-3.0,0.45693916,0.83384156,true,false,made,00-0032569,W.Lutz,0.9697924,590.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,3.0,13.0,31.0,31-40,1096.0,-14.0,0.09490931,0.9701947,true,false,made,00-0019646,S.Janikowski,0.1309874,3129.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,4.0,33.0,50.0,41-50,827.0,11.0,0.9118525,0.74616563,false,false,missed,00-0032569,W.Lutz,-3.3300347,3412.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,4.0,2.0,20.0,0-30,526.0,5.0,0.86777294,0.9968821,true,false,made,00-0032569,W.Lutz,0.012380106,3808.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,4.0,43.0,61.0,56+,5.0,-1.0,0.35729745,0.4393038,false,false,missed,00-0032569,W.Lutz,-1.3179114,4667.0
2016_01_PIT_WAS,2016,1,2016-09-12,WAS,PIT,1.0,13.0,31.0,31-40,3061.0,0.0,0.5928356,0.9565667,true,false,made,00-0030098,D.Hopkins,0.20441252,563.0
2016_01_PIT_WAS,2016,1,2016-09-12,WAS,PIT,1.0,23.0,40.0,31-40,2773.0,3.0,0.6361799,0.856097,true,false,made,00-0030098,D.Hopkins,0.78489,835.0
2016_01_PIT_WAS,2016,1,2016-09-12,PIT,WAS,3.0,28.0,46.0,41-50,1583.0,8.0,0.8063099,0.77615386,true,false,made,00-0031136,C.Boswell,1.154329,2093.0
