game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,qb_dropback,qb_scramble,epa,wp,wpa,decision,go_converted,go_failed,fg_made,kick_distance,punt_attempt,field_goal_attempt,yards_gained,touchback,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2017_05_JAX_PIT,2017,5,2017-10-08,PIT,JAX,JAX,PIT,1.0,3151.0,39.0,8.0,-3.0,outdoors,73.0,9.0,0.0,0.0,0.0,0.0,0.08111872,0.33805928,-0.039224595,PUNT,false,false,,35.0,1.0,0.0,0.0,0.0,3.0,3.0,456.0,456.0,6-10,21-40,0.0,2,,,,,
2017_07_TB_BUF,2017,7,2017-10-22,BUF,TB,TB,BUF,1.0,2725.0,7.0,6.0,0.0,outdoors,74.0,9.0,0.0,0.0,0.0,0.0,0.067430064,0.5126049,-0.018248737,FG,false,false,true,25.0,0.0,1.0,0.0,0.0,3.0,3.0,946.0,946.0,6-10,0-20,,,,,,,
2017_08_CAR_TB,2017,8,2017-10-29,TB,CAR,CAR,TB,2.0,1983.0,56.0,10.0,7.0,outdoors,63.0,13.0,0.0,0.0,0.0,0.0,0.18100289,0.73445916,-0.009165734,PUNT,false,false,,48.0,1.0,0.0,0.0,0.0,8.0,8.0,1665.0,1665.0,6-10,41-60,0.0,1,1.0,2,0.061613545,0.39886820315000143,1.9575758
2017_09_ATL_CAR,2017,9,2017-11-05,CAR,ATL,CAR,ATL,2.0,2443.0,53.0,6.0,-10.0,outdoors,61.0,4.0,0.0,0.0,0.0,0.0,0.6634979,0.25022092,0.028935581,PUNT,false,false,,50.0,1.0,0.0,0.0,0.0,8.0,8.0,1241.0,1241.0,6-10,41-60,0.0,1,,,-0.022500478,0.410530648126802,1.9478277
2017_09_ATL_CAR,2017,9,2017-11-05,CAR,ATL,CAR,ATL,4.0,333.0,46.0,7.0,10.0,outdoors,61.0,4.0,0.0,0.0,0.0,0.0,-0.11128645,0.93954927,0.014959887,PUNT,false,false,,38.0,1.0,0.0,0.0,0.0,20.0,20.0,3287.0,3287.0,6-10,41-60,0.0,1,,,-0.022500478,0.410530648126802,1.9478277
2017_13_PHI_SEA,2017,13,2017-12-03,SEA,PHI,PHI,SEA,2.0,1818.0,46.0,2.0,-7.0,outdoors,44.0,3.0,0.0,0.0,0.0,0.0,-0.4724692,0.26184425,-0.0035910904,PUNT,false,false,,43.0,1.0,0.0,0.0,0.0,8.0,8.0,1865.0,1865.0,2,41-60,0.0,1,,,-0.08039134,0.398777877765973,1.8988789
2017_13_WAS_DAL,2017,13,2017-11-30,DAL,WAS,DAL,WAS,1.0,2914.0,42.0,9.0,0.0,closed,,,0.0,0.0,0.0,0.0,0.68067837,0.49791625,0.036917,PUNT,false,false,,41.0,1.0,0.0,0.0,0.0,6.0,6.0,702.0,702.0,6-10,41-60,0.0,1,0.0,1,-0.3181489,0.3346211737031701,1.9572095
2017_14_OAK_KC,2017,14,2017-12-10,KC,LV,KC,LV,4.0,690.0,46.0,6.0,26.0,outdoors,46.0,13.0,0.0,0.0,0.0,0.0,-1.466787,0.99983704,0.000028042894,PUNT,false,false,,13.0,1.0,0.0,0.0,0.0,19.0,19.0,3316.0,3316.0,6-10,41-60,0.0,1,,,0.15248542,0.3988023238701972,1.851295
2017_15_LA_SEA,2017,15,2017-12-17,SEA,LA,SEA,LA,2.0,1893.0,73.0,29.0,-27.0,outdoors,47.0,15.0,0.0,0.0,0.0,0.0,-1.6692219,0.0026662,0.00009361422,PUNT,false,false,,46.0,1.0,0.0,0.0,0.0,13.0,13.0,2018.0,2018.0,11+,61-80,,,,,0.43286982,0.43443314401647726,2.3155372
2017_15_LA_SEA,2017,15,2017-12-17,SEA,LA,SEA,LA,3.0,1565.0,74.0,15.0,-34.0,outdoors,47.0,15.0,0.0,0.0,0.0,0.0,-1.3484658,0.0013180086,0.00009688642,PUNT,false,false,,41.0,1.0,0.0,0.0,0.0,17.0,17.0,2458.0,2458.0,11+,61-80,,,,,0.43286982,0.43443314401647726,2.3155372
