season,game_id,qtr,posteam,defteam,yardline_100,ydstogo,score_differential,game_seconds_remaining,half_seconds_remaining,shotgun,wp,epa,decision,go_success
2016,2016_01_BUF_BAL,1.0,BAL,BUF,66.0,1.0,0.0,3425.0,1625.0,0.0,0.5102725,-0.9226208,go,0
2016,2016_01_BUF_BAL,1.0,BAL,BUF,71.0,6.0,0.0,3412.0,1612.0,0.0,0.4710029,-0.40504763,punt,0
2016,2016_01_BUF_BAL,1.0,BUF,BAL,76.0,18.0,0.0,3282.0,1482.0,0.0,0.41896108,0.22418077,punt,0
2016,2016_01_BUF_BAL,1.0,BUF,BAL,43.0,6.0,0.0,3030.0,1230.0,0.0,0.4749633,-0.44046333,go,0
2016,2016_01_BUF_BAL,1.0,BUF,BAL,48.0,11.0,0.0,3030.0,1230.0,0.0,0.47592688,0.44795814,punt,0
2016,2016_01_BUF_BAL,1.0,BAL,BUF,32.0,15.0,0.0,2741.0,941.0,0.0,0.5298005,1.7974256,fg,0
2016,2016_01_BUF_BAL,2.0,BUF,BAL,64.0,10.0,-3.0,2587.0,787.0,0.0,0.37058654,0.48040193,punt,0
2016,2016_01_BUF_BAL,2.0,BUF,BAL,1.0,1.0,-10.0,1986.0,186.0,0.0,0.22806047,2.8593578,go,1
2016,2016_01_BUF_BAL,3.0,BUF,BAL,37.0,1.0,-3.0,1553.0,1553.0,1.0,0.41169885,2.62021,go,1
2016,2016_01_BUF_BAL,3.0,BUF,BAL,31.0,15.0,-3.0,1423.0,1423.0,0.0,0.35824838,-3.8552082,fg,0
2016,2016_01_BUF_BAL,3.0,BAL,BUF,53.0,2.0,3.0,1363.0,1363.0,0.0,0.6756751,-1.1369573,punt,0
2016,2016_01_BUF_BAL,3.0,BUF,BAL,55.0,4.0,-3.0,1158.0,1158.0,0.0,0.31441906,0.5606744,punt,0
2016,2016_01_BUF_BAL,3.0,BAL,BUF,42.0,1.0,3.0,946.0,946.0,0.0,0.7249423,-3.14418,go,0
2016,2016_01_BUF_BAL,4.0,BUF,BAL,49.0,1.0,-3.0,859.0,859.0,0.0,0.3345623,-1.8792363,punt,0
2016,2016_01_BUF_BAL,4.0,BAL,BUF,78.0,18.0,3.0,779.0,779.0,0.0,0.63014334,0.465403,punt,0
2016,2016_01_BUF_BAL,4.0,BUF,BAL,59.0,4.0,-3.0,706.0,706.0,0.0,0.26749858,-0.6681594,punt,0
2016,2016_01_BUF_BAL,4.0,BAL,BUF,27.0,14.0,3.0,463.0,463.0,0.0,0.80422646,2.9730997,go,1
2016,2016_01_BUF_BAL,4.0,BAL,BUF,19.0,16.0,3.0,342.0,342.0,0.0,0.84611624,0.4691954,fg,0
2016,2016_01_BUF_BAL,4.0,BUF,BAL,86.0,18.0,-6.0,283.0,283.0,0.0,0.10051204,0.012181396,punt,0
2016,2016_01_CAR_DEN,2.0,CAR,DEN,59.0,5.0,7.0,2700.0,900.0,0.0,0.6815712,-0.42458135,punt,0
2016,2016_01_CAR_DEN,2.0,DEN,CAR,72.0,7.0,-7.0,1915.0,115.0,0.0,0.24192919,-0.02195773,punt,0
2016,2016_01_CAR_DEN,3.0,CAR,DEN,56.0,1.0,10.0,1593.0,1593.0,0.0,0.8327634,-0.77954,punt,0
2016,2016_01_CAR_DEN,3.0,CAR,DEN,89.0,10.0,10.0,1366.0,1366.0,0.0,0.77427065,2.2065659,punt,0
2016,2016_01_CAR_DEN,3.0,DEN,CAR,85.0,9.0,-10.0,1251.0,1251.0,0.0,0.13549532,0.4677549,punt,0
2016,2016_01_CAR_DEN,3.0,CAR,DEN,68.0,17.0,10.0,1150.0,1150.0,0.0,0.79510415,0.6490688,punt,0
2016,2016_01_CAR_DEN,4.0,DEN,CAR,2.0,1.0,-3.0,646.0,646.0,0.0,0.5674122,2.3241966,go,1
2016,2016_01_CAR_DEN,4.0,CAR,DEN,18.0,5.0,-4.0,265.0,265.0,0.0,0.39387465,0.37753,fg,0
2016,2016_01_CAR_DEN,4.0,DEN,CAR,82.0,17.0,1.0,197.0,197.0,0.0,0.5966545,-0.33316803,punt,0
2016,2016_01_CAR_DEN,4.0,CAR,DEN,71.0,21.0,-1.0,120.0,120.0,1.0,0.27019456,2.013688,go,1
2016,2016_01_CHI_HOU,1.0,HOU,CHI,78.0,12.0,-7.0,2970.0,1170.0,0.0,0.25463706,-1.4856143,punt,0
2016,2016_01_CHI_HOU,1.0,CHI,HOU,31.0,1.0,7.0,2869.0,1069.0,0.0,0.7394913,-4.165968,go,0
2016,2016_01_CHI_HOU,2.0,HOU,CHI,10.0,10.0,-7.0,2488.0,688.0,0.0,0.36077246,0.14794803,fg,0
2016,2016_01_CHI_HOU,2.0,CHI,HOU,77.0,9.0,4.0,2295.0,495.0,0.0,0.58666503,-0.6751102,punt,0
2016,2016_01_CHI_HOU,2.0,CHI,HOU,58.0,6.0,-3.0,1915.0,115.0,0.0,0.36404872,-0.42148188,punt,0
2016,2016_01_CHI_HOU,2.0,HOU,CHI,85.0,12.0,3.0,1850.0,50.0,0.0,0.5618314,0.08339177,punt,0
2016,2016_01_CHI_HOU,3.0,HOU,CHI,10.0,10.0,-4.0,1640.0,1640.0,0.0,0.48211133,0.14500402,fg,0
2016,2016_01_CHI_HOU,3.0,CHI,HOU,77.0,12.0,1.0,1569.0,1569.0,0.0,0.44860882,0.38231516,punt,0
2016,2016_01_CHI_HOU,3.0,HOU,CHI,73.0,14.0,-1.0,1504.0,1504.0,0.0,0.43562818,-0.38362747,punt,0
2016,2016_01_CHI_HOU,3.0,CHI,HOU,38.0,2.0,1.0,1370.0,1370.0,0.0,0.55454785,-1.0039206,punt,0
2016,2016_01_CHI_HOU,3.0,HOU,CHI,70.0,1.0,-1.0,1123.0,1123.0,0.0,0.47130617,0.12848926,punt,0
2016,2016_01_CHI_HOU,3.0,CHI,HOU,82.0,6.0,1.0,1065.0,1065.0,0.0,0.46127698,0.004154391,punt,0
2016,2016_01_CHI_HOU,4.0,CHI,HOU,64.0,15.0,-6.0,550.0,550.0,0.0,0.12310553,-0.9445166,punt,0
2016,2016_01_CHI_HOU,4.0,HOU,CHI,20.0,6.0,6.0,374.0,374.0,0.0,0.8944474,0.48327532,fg,0
2016,2016_01_CHI_HOU,4.0,CHI,HOU,76.0,12.0,-9.0,296.0,296.0,0.0,0.03626111,0.4150513,punt,0
2016,2016_01_CHI_HOU,4.0,HOU,CHI,56.0,7.0,9.0,126.0,126.0,0.0,0.98268914,-0.44944385,punt,0
2016,2016_01_CHI_HOU,4.0,CHI,HOU,55.0,10.0,-9.0,18.0,18.0,1.0,0.008920472,-0.66489214,go,0
2016,2016_01_CIN_NYJ,1.0,CIN,NYJ,72.0,7.0,0.0,3462.0,1662.0,0.0,0.34329668,0.7885972,punt,0
2016,2016_01_CIN_NYJ,1.0,NYJ,CIN,4.0,4.0,7.0,2925.0,1125.0,0.0,0.82124716,-3.2331347,fg,0
2016,2016_01_CIN_NYJ,1.0,CIN,NYJ,15.0,5.0,-7.0,2792.0,992.0,0.0,0.2521123,0.23355585,fg,0
2016,2016_01_CIN_NYJ,2.0,NYJ,CIN,61.0,15.0,4.0,2626.0,826.0,0.0,0.6875937,0.23757266,punt,0
2016,2016_01_CIN_NYJ,2.0,CIN,NYJ,85.0,20.0,-3.0,2288.0,488.0,0.0,0.2446484,-0.3688943,punt,0
2016,2016_01_CIN_NYJ,2.0,NYJ,CIN,27.0,5.0,3.0,2003.0,203.0,0.0,0.73649246,1.0801159,fg,0
2016,2016_01_CIN_NYJ,2.0,CIN,NYJ,3.0,3.0,-6.0,1801.0,1.0,0.0,0.33033133,0.037339356,fg,0
2016,2016_01_CIN_NYJ,3.0,NYJ,CIN,77.0,9.0,3.0,1620.0,1620.0,0.0,0.5989875,0.10616655,punt,0
2016,2016_01_CIN_NYJ,3.0,CIN,NYJ,69.0,15.0,-3.0,1507.0,1507.0,0.0,0.2740607,0.8661312,punt,0
2016,2016_01_CIN_NYJ,3.0,NYJ,CIN,61.0,4.0,3.0,1346.0,1346.0,0.0,0.6607094,0.81764185,punt,0
2016,2016_01_CIN_NYJ,4.0,NYJ,CIN,2.0,2.0,-4.0,689.0,689.0,0.0,0.49781117,0.033475667,fg,0
2016,2016_01_CIN_NYJ,4.0,CIN,NYJ,34.0,12.0,1.0,546.0,546.0,0.0,0.5318574,-3.264642,fg,0
2016,2016_01_CIN_NYJ,4.0,NYJ,CIN,6.0,1.0,-1.0,205.0,205.0,0.0,0.65999854,0.06705851,fg,0
2016,2016_01_CIN_NYJ,4.0,CIN,NYJ,29.0,2.0,-2.0,58.0,58.0,0.0,0.4329108,1.0567486,fg,0
2016,2016_01_CLE_PHI,1.0,CLE,PHI,70.0,5.0,-7.0,3224.0,1424.0,0.0,0.25055182,-0.05704469,punt,0
2016,2016_01_CLE_PHI,1.0,PHI,CLE,67.0,12.0,7.0,3085.0,1285.0,0.0,0.71666557,0.5630138,punt,0
2016,2016_01_CLE_PHI,1.0,CLE,PHI,77.0,7.0,-7.0,2970.0,1170.0,0.0,0.2522953,-1.2530506,punt,0
2016,2016_01_CLE_PHI,1.0,PHI,CLE,28.0,8.0,7.0,2751.0,951.0,0.0,0.74104196,-3.1381555,fg,0
2016,2016_01_CLE_PHI,2.0,CLE,PHI,59.0,5.0,-7.0,2690.0,890.0,0.0,0.27521482,-2.942606,go,0
2016,2016_01_CLE_PHI,2.0,PHI,CLE,4.0,4.0,7.0,2553.0,753.0,0.0,0.7994542,0.049567387,fg,0
2016,2016_01_CLE_PHI,2.0,PHI,CLE,72.0,5.0,3.0,2263.0,463.0,0.0,0.5717904,0.05586956,punt,0
2016,2016_01_CLE_PHI,2.0,PHI,CLE,19.0,10.0,3.0,1828.0,28.0,0.0,0.6779471,0.35844648,fg,0
2016,2016_01_CLE_PHI,3.0,CLE,PHI,17.0,10.0,-6.0,1741.0,1741.0,0.0,0.29093754,0.31351477,fg,0
2016,2016_01_CLE_PHI,3.0,PHI,CLE,52.0,10.0,3.0,1562.0,1562.0,0.0,0.664822,0.061751142,punt,0
2016,2016_01_CLE_PHI,3.0,PHI,CLE,40.0,4.0,5.0,1324.0,1324.0,1.0,0.74923944,3.0212965,go,1
2016,2016_01_CLE_PHI,3.0,CLE,PHI,57.0,2.0,-12.0,1114.0,1114.0,0.0,0.084797576,-0.2648192,punt,0
2016,2016_01_CLE_PHI,4.0,PHI,CLE,43.0,14.0,12.0,900.0,900.0,0.0,0.9064524,1.0716611,punt,0
2016,2016_01_CLE_PHI,4.0,CLE,PHI,96.0,7.0,-12.0,836.0,836.0,0.0,0.033074845,-0.13436182,punt,0
2016,2016_01_CLE_PHI,4.0,PHI,CLE,45.0,8.0,12.0,701.0,701.0,0.0,0.9374703,-0.6625891,punt,0
2016,2016_01_CLE_PHI,4.0,CLE,PHI,79.0,9.0,-12.0,608.0,608.0,0.0,0.027487505,0.1578906,punt,0
2016,2016_01_CLE_PHI,4.0,PHI,CLE,40.0,16.0,12.0,275.0,275.0,0.0,0.98632413,-0.34373748,punt,0
2016,2016_01_CLE_PHI,4.0,CLE,PHI,85.0,3.0,-12.0,221.0,221.0,1.0,0.01780609,-3.371867,go,0
2016,2016_01_DET_IND,1.0,IND,DET,48.0,12.0,0.0,3256.0,1456.0,0.0,0.48689947,-0.48681912,punt,0
