season,week,game_date,game_id,team,epa_allowed_roll6,stop_rate_roll6,yards_allowed_roll6,points_allowed_roll6
2016,1,2016-09-11,2016_01_NE_ARI,ARI,,,,
2016,2,2016-09-18,2016_02_TB_ARI,ARI,,,,
2016,3,2016-09-25,2016_03_ARI_BUF,ARI,,,,
2016,4,2016-10-02,2016_04_LA_ARI,ARI,,,,
2016,5,2016-10-06,2016_05_ARI_SF,ARI,,,,
2016,6,2016-10-17,2016_06_NYJ_ARI,ARI,,,,
2016,7,2016-10-23,2016_07_SEA_ARI,ARI,-0.79558796,0.6781088983767556,24.003967,1.2861111
2016,8,2016-10-30,2016_08_ARI_CAR,ARI,-1.2008402,0.6818605633784206,21.24884,0.9797008
2016,10,2016-11-13,2016_10_SF_ARI,ARI,-0.8319861,0.6534422444839111,22.453207,1.2297008
2016,11,2016-11-20,2016_11_ARI_MIN,ARI,-0.77143747,0.6567803170866896,23.410782,1.2327312
2016,12,2016-11-27,2016_12_ARI_ATL,ARI,-0.75414634,0.6305921919402312,22.192833,1.3043123
2016,13,2016-12-04,2016_13_WAS_ARI,ARI,-0.3465459,0.5897382156695882,25.015055,1.7043123
2016,14,2016-12-11,2016_14_ARI_MIA,ARI,-0.024663722,0.5729199413513139,26.73172,2.0376456
2016,15,2016-12-18,2016_15_NO_ARI,ARI,0.089197814,0.5722738282052007,27.174944,2.2464368
2016,16,2016-12-24,2016_16_ARI_SEA,ARI,0.35966316,0.5701550943156336,29.1055,2.5797703
2016,17,2017-01-01,2016_17_ARI_LA,ARI,0.34221053,0.5695033631491965,29.526497,2.6457875
2017,1,2017-09-10,2017_01_ARI_DET,ARI,,,,
2017,2,2017-09-17,2017_02_ARI_IND,ARI,,,,
2017,3,2017-09-25,2017_03_DAL_ARI,ARI,,,,
2017,4,2017-10-01,2017_04_SF_ARI,ARI,,,,
2017,5,2017-10-08,2017_05_ARI_PHI,ARI,,,,
2017,6,2017-10-15,2017_06_TB_ARI,ARI,,,,
2017,7,2017-10-22,2017_07_ARI_LA,ARI,-0.07974983,0.637805634708047,27.60749,1.9832529
2017,9,2017-11-05,2017_09_ARI_SF,ARI,0.33284518,0.6230028869507538,29.677835,2.1380148
2017,10,2017-11-09,2017_10_SEA_ARI,ARI,0.18325876,0.6196660765180787,30.184248,2.0903957
2017,11,2017-11-19,2017_11_ARI_HOU,ARI,0.0351508,0.636511730863733,30.072067,1.9579171
2017,12,2017-11-26,2017_12_JAX_ARI,ARI,0.12168988,0.6301042494562515,30.738733,2.1630452
2017,13,2017-12-03,2017_13_LA_ARI,ARI,-0.18549682,0.6330842555612578,26.6715,1.8353938
2017,14,2017-12-10,2017_14_TEN_ARI,ARI,-0.22843729,0.6220059627121316,25.102053,1.821505
2017,15,2017-12-17,2017_15_ARI_WAS,ARI,-0.7650787,0.647334411620126,21.495995,1.418727
2017,16,2017-12-24,2017_16_NYG_ARI,ARI,-0.6450056,0.6563847477309016,20.374199,1.5560898
2017,17,2017-12-31,2017_17_ARI_SEA,ARI,-1.0491985,0.6474760307864704,20.182806,1.2996795
2018,1,2018-09-09,2018_01_WAS_ARI,ARI,,,,
2018,2,2018-09-16,2018_02_ARI_LA,ARI,,,,
2018,3,2018-09-23,2018_03_CHI_ARI,ARI,,,,
2018,4,2018-09-30,2018_04_SEA_ARI,ARI,,,,
2018,5,2018-10-07,2018_05_ARI_SF,ARI,,,,
2018,6,2018-10-14,2018_06_ARI_MIN,ARI,,,,
2018,7,2018-10-18,2018_07_DEN_ARI,ARI,-0.28596896,0.5879112058576345,34.87666,2.0643191
2018,8,2018-10-28,2018_08_SF_ARI,ARI,-0.51817703,0.5833130339677958,31.15999,2.0309856
2018,10,2018-11-11,2018_10_ARI_KC,ARI,-0.86149096,0.6066656304453923,27.568323,1.6448746
2018,11,2018-11-18,2018_11_OAK_ARI,ARI,-0.6463903,0.5973865257117422,27.780447,1.7963897
2018,12,2018-11-25,2018_12_ARI_LAC,ARI,-0.63083833,0.6132387290639455,26.63434,1.767169
2018,13,2018-12-02,2018_13_ARI_GB,ARI,-0.09064945,0.6015423656630366,27.1763,2.2182178
2018,14,2018-12-09,2018_14_DET_ARI,ARI,0.045332532,0.5953567132923193,27.207685,2.154365
2018,15,2018-12-16,2018_15_ARI_ATL,ARI,-0.02894211,0.6060838256860984,27.07738,1.9543651
2018,16,2018-12-23,2018_16_LA_ARI,ARI,0.20722543,0.5978965268737996,28.94597,2.209707
2018,17,2018-12-30,2018_17_ARI_SEA,ARI,0.43269196,0.5653938485756668,31.629303,2.3324342
2019,1,2019-09-08,2019_01_DET_ARI,ARI,,,,
2019,2,2019-09-15,2019_02_ARI_BAL,ARI,,,,
2019,3,2019-09-22,2019_03_CAR_ARI,ARI,,,,
2019,4,2019-09-29,2019_04_SEA_ARI,ARI,,,,
2019,5,2019-10-06,2019_05_ARI_CIN,ARI,,,,
2019,6,2019-10-13,2019_06_ATL_ARI,ARI,,,,
2019,7,2019-10-20,2019_07_ARI_NYG,ARI,0.8797757,0.5453633814744926,38.232407,2.5333333
2019,8,2019-10-27,2019_08_ARI_NO,ARI,0.6329557,0.5302982459926905,36.917255,2.460606
2019,9,2019-10-31,2019_09_SF_ARI,ARI,0.6326606,0.5218591850536295,37.311195,2.5469697
2019,10,2019-11-10,2019_10_ARI_TB,ARI,0.62743765,0.5246254311532089,38.425083,2.4858587
2019,11,2019-11-17,2019_11_ARI_SF,ARI,0.60078424,0.5499520335631447,38.47601,2.5136364
2019,13,2019-12-01,2019_13_LA_ARI,ARI,0.5663338,0.5618178426511761,38.44823,2.5469697
2019,14,2019-12-08,2019_14_PIT_ARI,ARI,0.339432,0.5557595490928825,38.67323,2.3858585
2019,15,2019-12-15,2019_15_CLE_ARI,ARI,0.5081783,0.566839672673006,39.271717,2.441919
2019,16,2019-12-22,2019_16_ARI_SEA,ARI,0.4347082,0.5854187325020659,38.094444,2.3722222
2019,17,2019-12-29,2019_17_ARI_LA,ARI,0.004000122,0.6131588627421961,34.116238,2.0722222
