season,week,game_date,game_id,team,epa_allowed_roll6,stop_rate_roll6,yards_allowed_roll6,points_allowed_roll6
2016,1,2016-09-11,2016_01_NE_ARI,ARI,,,,
2016,2,2016-09-18,2016_02_TB_ARI,ARI,,,,
2016,3,2016-09-25,2016_03_ARI_BUF,ARI,,,,
2016,4,2016-10-02,2016_04_LA_ARI,ARI,,,,
2016,5,2016-10-06,2016_05_ARI_SF,ARI,,,,
2016,6,2016-10-17,2016_06_NYJ_ARI,ARI,,,,
2016,7,2016-10-23,2016_07_SEA_ARI,ARI,-0.8129485,0.6609154712130904,25.816414,1.4193991
2016,8,2016-10-30,2016_08_ARI_CAR,ARI,-1.2455815,0.6722493148386005,22.297897,1.0768065
2016,10,2016-11-13,2016_10_SF_ARI,ARI,-0.8481627,0.6448970374863232,23.544983,1.3506993
2016,11,2016-11-20,2016_11_ARI_MIN,ARI,-0.7925579,0.6536441454981371,24.238457,1.3075758
2016,12,2016-11-27,2016_12_ARI_ATL,ARI,-0.71371084,0.6214356553351015,23.177849,1.4136363
2016,13,2016-12-04,2016_13_WAS_ARI,ARI,-0.21060985,0.5699371097889369,26.607744,1.8673401
2016,14,2016-12-11,2016_14_ARI_MIA,ARI,0.119969696,0.5459793751367578,28.959595,2.243266
2016,15,2016-12-18,2016_15_NO_ARI,ARI,0.2461828,0.5446070206394032,29.47547,2.445647
2016,16,2016-12-24,2016_16_ARI_SEA,ARI,0.5925017,0.5379862108935936,32.052742,2.8820107
2016,17,2017-01-01,2016_17_ARI_LA,ARI,0.5712581,0.5373344797271565,32.83363,2.9635956
2017,1,2017-09-10,2017_01_ARI_DET,ARI,,,,
2017,2,2017-09-17,2017_02_ARI_IND,ARI,,,,
2017,3,2017-09-25,2017_03_DAL_ARI,ARI,,,,
2017,4,2017-10-01,2017_04_SF_ARI,ARI,,,,
2017,5,2017-10-08,2017_05_ARI_PHI,ARI,,,,
2017,6,2017-10-15,2017_06_TB_ARI,ARI,,,,
2017,7,2017-10-22,2017_07_ARI_LA,ARI,-0.06213485,0.6264346512598644,29.289782,2.1269815
2017,9,2017-11-05,2017_09_ARI_SF,ARI,0.4093082,0.6063739640837927,31.591064,2.3051865
2017,10,2017-11-09,2017_10_SEA_ARI,ARI,0.27354208,0.6038243172672285,31.68955,2.2272644
2017,11,2017-11-19,2017_11_ARI_HOU,ARI,0.11534246,0.6225314098379574,31.538034,2.0807998
2017,12,2017-11-26,2017_12_JAX_ARI,ARI,0.20188153,0.616123928430476,32.2047,2.285928
2017,13,2017-12-03,2017_13_LA_ARI,ARI,-0.1329298,0.6214322312387789,27.621368,1.9192613
2017,14,2017-12-10,2017_14_TEN_ARI,ARI,-0.17587025,0.6103539383896527,26.051924,1.9053725
2017,15,2017-12-17,2017_15_ARI_WAS,ARI,-0.7725051,0.6396436533043676,21.96859,1.4525946
2017,16,2017-12-24,2017_16_NYG_ARI,ARI,-0.6675367,0.6444802959386293,21.09359,1.6113248
2017,17,2017-12-31,2017_17_ARI_SEA,ARI,-1.104981,0.63516553662387,20.785898,1.333547
2018,1,2018-09-09,2018_01_WAS_ARI,ARI,,,,
2018,2,2018-09-16,2018_02_ARI_LA,ARI,,,,
2018,3,2018-09-23,2018_03_CHI_ARI,ARI,,,,
2018,4,2018-09-30,2018_04_SEA_ARI,ARI,,,,
2018,5,2018-10-07,2018_05_ARI_SF,ARI,,,,
2018,6,2018-10-14,2018_06_ARI_MIN,ARI,,,,
2018,7,2018-10-18,2018_07_DEN_ARI,ARI,-0.27406463,0.5737377437377438,35.90119,2.107731
2018,8,2018-10-28,2018_08_SF_ARI,ARI,-0.48754263,0.5714407351907352,31.652514,2.056144
2018,10,2018-11-11,2018_10_ARI_KC,ARI,-0.8499198,0.596971546971547,28.185846,1.7561439
2018,11,2018-11-18,2018_11_OAK_ARI,ARI,-0.58420795,0.5867645317645317,28.502516,1.9228106
2018,12,2018-11-25,2018_12_ARI_LAC,ARI,-0.5737979,0.598349492387954,27.487364,1.914652
2018,13,2018-12-02,2018_13_ARI_GB,ARI,0.039047,0.5788581041465657,28.689926,2.4338827
2018,14,2018-12-09,2018_14_DET_ARI,ARI,0.17412305,0.573564218739044,28.92186,2.3453047
2018,15,2018-12-16,2018_15_ARI_ATL,ARI,0.061211538,0.5893530595278847,28.510605,2.1191142
2018,16,2018-12-23,2018_16_LA_ARI,ARI,0.31644234,0.5789875454123706,30.254196,2.3383448
2018,17,2018-12-30,2018_17_ARI_SEA,ARI,0.5437406,0.5458164161301303,33.07086,2.4790857
2019,1,2019-09-08,2019_01_DET_ARI,ARI,,,,
2019,2,2019-09-15,2019_02_ARI_BAL,ARI,,,,
2019,3,2019-09-22,2019_03_CAR_ARI,ARI,,,,
2019,4,2019-09-29,2019_04_SEA_ARI,ARI,,,,
2019,5,2019-10-06,2019_05_ARI_CIN,ARI,,,,
2019,6,2019-10-13,2019_06_ATL_ARI,ARI,,,,
2019,7,2019-10-20,2019_07_ARI_NYG,ARI,1.050249,0.5238231213231214,40.620373,2.785185
2019,8,2019-10-27,2019_08_ARI_NO,ARI,0.80342895,0.5087579858413193,39.305218,2.712458
2019,9,2019-10-31,2019_09_SF_ARI,ARI,0.83581394,0.5010728469061804,39.805218,2.8606062
2019,10,2019-11-10,2019_10_ARI_TB,ARI,0.80162185,0.5160346340901897,39.892254,2.7457912
2019,11,2019-11-17,2019_11_ARI_SF,ARI,0.7749684,0.5413612365001255,39.94318,2.773569
2019,13,2019-12-01,2019_13_LA_ARI,ARI,0.7265369,0.5593657756852202,39.230217,2.76431
2019,14,2019-12-08,2019_14_PIT_ARI,ARI,0.46190476,0.5614717201522758,38.632996,2.5420876
2019,15,2019-12-15,2019_15_CLE_ARI,ARI,0.64906794,0.56555284992785,39.75926,2.6296296
2019,16,2019-12-22,2019_16_ARI_SEA,ARI,0.5043174,0.5783318147901482,39.351852,2.5
2019,17,2019-12-29,2019_17_ARI_LA,ARI,0.012600559,0.6018455567066678,35.60648,2.1620371
