season,week,game_id,team,interceptions,fumbles_forced,total_turnovers,turnovers_roll6
2016,1,2016_01_NE_ARI,ARI,0.0,2.0,2.0,
2016,2,2016_02_TB_ARI,ARI,4.0,0.0,4.0,
2016,3,2016_03_ARI_BUF,ARI,1.0,2.0,3.0,
2016,4,2016_04_LA_ARI,ARI,0.0,1.0,1.0,
2016,5,2016_05_ARI_SF,ARI,2.0,2.0,4.0,
2016,6,2016_06_NYJ_ARI,ARI,2.0,1.0,3.0,
2016,7,2016_07_SEA_ARI,ARI,0.0,2.0,2.0,2.8333333333333335
2016,8,2016_08_ARI_CAR,ARI,0.0,1.0,1.0,2.8333333333333335
2016,10,2016_10_SF_ARI,ARI,0.0,0.0,0.0,2.3333333333333335
2016,11,2016_11_ARI_MIN,ARI,0.0,1.0,1.0,1.8333333333333333
2016,12,2016_12_ARI_ATL,ARI,1.0,0.0,1.0,1.8333333333333333
2016,13,2016_13_WAS_ARI,ARI,1.0,2.0,3.0,1.3333333333333333
2016,14,2016_14_ARI_MIA,ARI,1.0,1.0,2.0,1.3333333333333333
2016,15,2016_15_NO_ARI,ARI,0.0,1.0,1.0,1.3333333333333333
2016,16,2016_16_ARI_SEA,ARI,0.0,0.0,0.0,1.3333333333333333
2016,17,2016_17_ARI_LA,ARI,2.0,5.0,7.0,1.3333333333333333
2017,1,2017_01_ARI_DET,ARI,1.0,0.0,1.0,
2017,2,2017_02_ARI_IND,ARI,1.0,2.0,3.0,
2017,3,2017_03_DAL_ARI,ARI,0.0,0.0,0.0,
2017,4,2017_04_SF_ARI,ARI,1.0,1.0,2.0,
2017,5,2017_05_ARI_PHI,ARI,1.0,0.0,1.0,
2017,6,2017_06_TB_ARI,ARI,2.0,0.0,2.0,
2017,7,2017_07_ARI_LA,ARI,1.0,0.0,1.0,1.5
2017,9,2017_09_ARI_SF,ARI,1.0,1.0,2.0,1.5
2017,10,2017_10_SEA_ARI,ARI,0.0,1.0,1.0,1.3333333333333333
2017,11,2017_11_ARI_HOU,ARI,1.0,4.0,5.0,1.5
2017,12,2017_12_JAX_ARI,ARI,1.0,2.0,3.0,2.0
2017,13,2017_13_LA_ARI,ARI,1.0,1.0,2.0,2.3333333333333335
2017,14,2017_14_TEN_ARI,ARI,2.0,0.0,2.0,2.3333333333333335
2017,15,2017_15_ARI_WAS,ARI,0.0,1.0,1.0,2.5
2017,16,2017_16_NYG_ARI,ARI,2.0,2.0,4.0,2.3333333333333335
2017,17,2017_17_ARI_SEA,ARI,0.0,2.0,2.0,2.8333333333333335
2018,1,2018_01_WAS_ARI,ARI,0.0,2.0,2.0,
2018,2,2018_02_ARI_LA,ARI,1.0,0.0,1.0,
2018,3,2018_03_CHI_ARI,ARI,1.0,1.0,2.0,
2018,4,2018_04_SEA_ARI,ARI,0.0,2.0,2.0,
2018,5,2018_05_ARI_SF,ARI,2.0,3.0,5.0,
2018,6,2018_06_ARI_MIN,ARI,1.0,1.0,2.0,
2018,7,2018_07_DEN_ARI,ARI,1.0,0.0,1.0,2.3333333333333335
2018,8,2018_08_SF_ARI,ARI,0.0,0.0,0.0,2.1666666666666665
